Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude
Ad Dar Al Baida,Metro Station,2,5,46.7763908,24.5601018
Al Urubah,Metro Station,3,3.7,46.674953,24.7139213
Ad Dhabab,Metro Station,0,0,46.7076157,24.7097595
Ministry of Defence,Metro Station,0,0,46.7182698,24.6679945
Al Rajhi Grand Mosque,Metro Station,0,0,46.779454,24.6801982
Dr Sulaiman Al Habib,Metro Station,9,3.7,46.6256894,24.8115869
Metro Station F2,Metro Station,43,4.2,46.7243668,24.864254
Ar Rabi,Metro Station,0,0,46.6601128,24.7862174
Harun ar Rashid Road,Metro Station,0,0,46.795992,24.6860343
Sabic,Metro Station,12,5,46.7095831,24.807151
Al Rajhi Grand Mosque,Metro Station,0,0,46.7794001,24.6802226
An Naseem,Metro Station,0,0,46.8275049,24.7005213
As Salhiyah,Metro Station,1,5,46.7329123,24.6377619
Khalid Bin Alwaleed Road,Metro Station,1,5,46.7588826,24.7676049
Courts Complex,Metro Station,0,0,46.7125475,24.6269097
Subway,Metro Station,187,3.4,46.697337,24.888603
Riyadh Metro Station - STC محطة مترو الرياض - اس تي سي (ازرق),Metro Station,407,4.8,46.6670073,24.7266373
At Takhassussi,Metro Station,2,5,46.6545792,24.7238439
Jeddah Road,Metro Station,2,5,46.5434756,24.5915049
